[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 1.702 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.647 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 10: 47] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 6.399 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 10: 47] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 1.468 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 10: 47] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.109 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 12: 31] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 13.851 ms [client]: PostmanRuntime/7.19.0
[18: 22: 02] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 7.024 ms [client]: PostmanRuntime/7.19.0
[18: 22: 02] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 3.562 ms [client]: PostmanRuntime/7.19.0
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 3.934 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.730 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[18: 31: 25] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_access HTTP/1.1 [status]: 200 [response-time]: 4.672 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
