[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/promotion/get_promotion HTTP/1.1 [status]: 200 [response-time]: 384.190 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/promotion/image/promotion_18.png HTTP/1.1 [status]: 200 [response-time]: 32.004 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/promotion/image/promotion_19.png HTTP/1.1 [status]: 200 [response-time]: 39.781 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/promotion/image/promotion_20.png HTTP/1.1 [status]: 200 [response-time]: 42.758 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 1.523 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 368.313 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.411 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 319.040 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 06: 21] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 659.658 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 31: 10] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 3.586 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 31: 10] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 588.774 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 31: 10] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 980.276 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 31: 10] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 0.332 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 40: 43] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 3.606 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 40: 43] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 678.668 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 55: 13] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 2.417 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[02: 55: 13] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 386.901 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 01: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 3.141 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 01: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 590.083 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 01: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/user/register HTTP/1.1 [status]: 200 [response-time]: 982.948 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 01: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 1.745 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 01: 08] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 293.355 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[03: 20: 20] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/slip_course HTTP/1.1 [status]: 200 [response-time]: 3.490 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
